Date,Type,Description,City
"2017-03-19 00:00:00,000","theft","","Joliet"
"2017-03-19 00:00:00,000","bribery","","Kalamazoo"
"2017-03-20 00:00:00,000","arson","","North Charleston"
"2017-03-23 00:00:00,000","arson","","Vancouver"
"2017-03-26 00:00:00,000","bribery","","Daytona Beach"
"2017-03-26 00:00:00,000","murder","","Evansville"
"2017-03-29 00:00:00,000","arson","","Poughkeepsie"
"2017-03-31 00:00:00,000","theft","","Winston"
"2017-03-31 00:00:00,000","fraud","","Victorville"
"2017-04-03 00:00:00,000","murder","","Indianapolis"
"2017-04-08 00:00:00,000","murder","","Madison"
"2017-04-08 00:00:00,000","fraud","","Chula Vista"
"2017-04-10 00:00:00,000","assault","","Kissimmee"
"2017-04-11 00:00:00,000","fraud","","Newark"
"2017-04-11 00:00:00,000","smuggling","","Bridgeport"
"2017-04-12 00:00:00,000","smuggling","","Honolulu"
"2017-04-12 00:00:00,000","arson","","San Buenaventura"
"2017-04-12 00:00:00,000","arson","","Harlingen"
"2017-04-14 00:00:00,000","smuggling","","Athens"
"2017-04-15 00:00:00,000","bribery","","Atlantic City"
"2017-04-15 00:00:00,000","theft","","Frederick"
"2017-04-21 00:00:00,000","bribery","","San Francisco"
"2017-04-25 00:00:00,000","murder","","Vero Beach"
"2017-04-25 00:00:00,000","fraud","","San Antonio"
"2017-04-27 00:00:00,000","theft","","Riverside"
"2017-04-28 00:00:00,000","arson","","Houma"
"2017-04-29 00:00:00,000","theft","","Tacoma"
"2017-04-30 00:00:00,000","assault","","Layton"
"2017-05-06 00:00:00,000","arson","","Duluth"
"2017-05-07 00:00:00,000","theft","","McHenry"
"2017-05-08 00:00:00,000","fraud","","Louisville"
"2017-05-09 00:00:00,000","robbery","","Johnson City"
"2017-05-09 00:00:00,000","theft","","Santa Cruz"
"2017-05-10 00:00:00,000","robbery","","Berkeley"
"2017-05-12 00:00:00,000","assault","","Fort Walton Beach"
"2017-05-13 00:00:00,000","smuggling","","Norwich"
"2017-05-15 00:00:00,000","smuggling","","Port St. Lucie"
"2017-05-18 00:00:00,000","blackmail","","Little Rock"
"2017-05-19 00:00:00,000","robbery","","Chandler"
"2017-05-19 00:00:00,000","bribery","","San Francisco"
"2017-05-24 00:00:00,000","assault","","Buffalo"
"2017-05-25 00:00:00,000","blackmail","","Oklahoma City"
"2017-05-27 00:00:00,000","fraud","","Jackson"
"2017-05-28 00:00:00,000","bribery","","Champaign"
"2017-05-29 00:00:00,000","robbery","","Cape Coral"
"2017-06-02 00:00:00,000","fraud","","Reno"
"2017-06-02 00:00:00,000","fraud","","Muskegon"
"2017-06-03 00:00:00,000","blackmail","","Orlando"
"2017-06-06 00:00:00,000","bribery","","Lancaster"
"2017-06-07 00:00:00,000","bribery","","Joliet"
"2017-06-09 00:00:00,000","assault","","Green Bay"
"2017-06-09 00:00:00,000","theft","","Abilene"
"2017-06-14 00:00:00,000","fraud","","Roseville"
"2017-06-15 00:00:00,000","fraud","","Huntsville"
"2017-06-19 00:00:00,000","assault","","Shreveport"
"2017-06-21 00:00:00,000","robbery","","Orange"
"2017-06-21 00:00:00,000","fraud","","Boulder"
"2017-06-23 00:00:00,000","assault","","Portsmouth"
"2017-06-24 00:00:00,000","smuggling","","Lexington"
"2017-06-24 00:00:00,000","fraud","","Houston"
"2017-06-25 00:00:00,000","fraud","","Des Moines"
"2017-06-25 00:00:00,000","fraud","","Washington"
"2017-06-26 00:00:00,000","arson","","Sioux Falls"
"2017-06-28 00:00:00,000","smuggling","","Port Orange"
"2017-06-29 00:00:00,000","theft","","Daly City"
"2017-07-04 00:00:00,000","murder","","Hampton"
"2017-07-04 00:00:00,000","theft","","Davidson County"
"2017-07-06 00:00:00,000","murder","","Independence"
"2017-07-08 00:00:00,000","robbery","","St. Petersburg"
"2017-07-08 00:00:00,000","smuggling","","Newark"
"2017-07-13 00:00:00,000","assault","","Saint Louis"
"2017-07-15 00:00:00,000","bribery","","Evansville"
"2017-07-15 00:00:00,000","smuggling","","Louisville"
"2017-07-20 00:00:00,000","blackmail","","Jacksonville"
"2017-07-21 00:00:00,000","fraud","","Boulder"
"2017-07-23 00:00:00,000","blackmail","","Duluth"
"2017-07-23 00:00:00,000","blackmail","","Clearwater"
"2017-07-26 00:00:00,000","arson","","Portsmouth"
"2017-07-28 00:00:00,000","arson","","Saint Paul"
"2017-07-28 00:00:00,000","arson","","Eugene"
"2017-08-05 00:00:00,000","assault","","New London"
"2017-08-06 00:00:00,000","assault","","Gainesville"
"2017-08-06 00:00:00,000","bribery","","Toledo"
"2017-08-09 00:00:00,000","arson","","Monterey"
"2017-08-09 00:00:00,000","robbery","","Santa Rosa"
"2017-08-20 00:00:00,000","murder","","Charleston"
"2017-08-20 00:00:00,000","blackmail","","Lewisville"
"2017-08-22 00:00:00,000","theft","","Escondido"
"2017-08-23 00:00:00,000","arson","","North Las Vegas"
"2017-08-24 00:00:00,000","smuggling","","Temecula"
"2017-08-24 00:00:00,000","bribery","","Gainesville"
"2017-08-26 00:00:00,000","assault","","Newark"
"2017-08-26 00:00:00,000","arson","","Sarasota"
"2017-08-26 00:00:00,000","theft","","Thornton"
"2017-08-30 00:00:00,000","smuggling","","Hampton"
"2017-08-30 00:00:00,000","blackmail","","Hayward"
"2017-09-03 00:00:00,000","fraud","","Long Beach"
"2017-09-06 00:00:00,000","theft","","Canton"
"2017-09-06 00:00:00,000","murder","","Dallas"
"2017-09-07 00:00:00,000","murder","","Honolulu"
"2017-09-08 00:00:00,000","murder","","Lacey"
"2017-09-08 00:00:00,000","fraud","","Fullerton"
"2017-09-09 00:00:00,000","murder","","Corona"
"2017-09-09 00:00:00,000","murder","","Grayslake"
"2017-09-15 00:00:00,000","assault","","Kissimmee"
"2017-09-16 00:00:00,000","theft","","Houma"
"2017-09-16 00:00:00,000","bribery","","Visalia"
"2017-09-17 00:00:00,000","murder","","McHenry"
"2017-09-17 00:00:00,000","blackmail","","Port Arthur"
"2017-09-17 00:00:00,000","theft","","Melbourne"
"2017-09-19 00:00:00,000","theft","","Amarillo"
"2017-09-19 00:00:00,000","bribery","","Rockford"
"2017-09-20 00:00:00,000","theft","","Trenton"
"2017-09-21 00:00:00,000","murder","","South Bend"
"2017-09-22 00:00:00,000","assault","","Hagerstown"
"2017-09-26 00:00:00,000","bribery","","Davenport"
"2017-09-27 00:00:00,000","blackmail","","Fresno"
"2017-09-28 00:00:00,000","blackmail","","Canton"
"2017-09-30 00:00:00,000","blackmail","","Garland"
"2017-10-02 00:00:00,000","murder","","Glendale"
"2017-10-07 00:00:00,000","blackmail","","Fort Smith"
"2017-10-13 00:00:00,000","arson","","Antioch"
"2017-10-16 00:00:00,000","murder","","Odessa"
"2017-10-17 00:00:00,000","bribery","","Kalamazoo"
"2017-10-19 00:00:00,000","theft","","Aurora"
"2017-10-20 00:00:00,000","bribery","","Waterbury"
"2017-10-20 00:00:00,000","theft","","Harrisburg"
"2017-10-21 00:00:00,000","bribery","","Huntington"
"2017-10-23 00:00:00,000","fraud","","Santa Cruz"
"2017-10-25 00:00:00,000","assault","","Providence"
"2017-10-28 00:00:00,000","arson","","Yakima"
"2017-10-29 00:00:00,000","murder","","Washington"
"2017-11-03 00:00:00,000","murder","","Vero Beach"
"2017-11-04 00:00:00,000","fraud","","Fort Collins"
"2017-11-05 00:00:00,000","bribery","","New London"
"2017-11-07 00:00:00,000","murder","","Concord"
"2017-11-11 00:00:00,000","bribery","","Hialeah"
"2017-11-13 00:00:00,000","assault","","Oxnard"
"2017-11-13 00:00:00,000","bribery","","Long Beach"
"2017-11-19 00:00:00,000","assault","","Little Rock"
"2017-11-22 00:00:00,000","fraud","","Kalamazoo"
"2017-11-23 00:00:00,000","smuggling","","Appleton"
"2017-11-24 00:00:00,000","assault","","Sioux Falls"
"2017-11-25 00:00:00,000","smuggling","","Monroe"
"2017-11-26 00:00:00,000","murder","","Port Orange"
"2017-11-26 00:00:00,000","arson","","Hollywood"
"2017-11-30 00:00:00,000","fraud","","Saint Petersburg"
"2017-12-02 00:00:00,000","robbery","","Salinas"
"2017-12-04 00:00:00,000","bribery","","Carrollton"
"2017-12-11 00:00:00,000","robbery","","Gulfport-Biloxi"
"2017-12-11 00:00:00,000","robbery","","Athens"
"2017-12-13 00:00:00,000","theft","","Pueblo"
"2017-12-17 00:00:00,000","robbery","","Boston"
"2017-12-19 00:00:00,000","arson","","Newport News"
"2017-12-22 00:00:00,000","assault","","Coral Springs"
"2017-12-23 00:00:00,000","assault","","Roanoke"
"2017-12-24 00:00:00,000","murder","","Akron"
"2017-12-27 00:00:00,000","robbery","","Raleigh"
"2017-12-29 00:00:00,000","fraud","","Antioch"
"2017-12-31 00:00:00,000","blackmail","","Pomona"
"2018-01-01 00:00:00,000","blackmail","","Frederick"
"2018-01-04 00:00:00,000","smuggling","","Cathedral City"
"2018-01-06 00:00:00,000","bribery","","Utica"
"2018-01-08 00:00:00,000","assault","","Saint Petersburg"
"2018-01-08 00:00:00,000","murder","","New Bedford"
"2018-01-10 00:00:00,000","bribery","","Barnstable"
"2018-01-14 00:00:00,000","bribery","","Lancaster"
"2018-01-14 00:00:00,000","theft","","Kansas City"
"2018-01-14 00:00:00,000","robbery","","Philadelphia"
"2018-01-17 00:00:00,000","smuggling","","Knoxville"
"2018-01-21 00:00:00,000","smuggling","","Concord"
"2018-01-23 00:00:00,000","fraud","","Shreveport"
"2018-01-24 00:00:00,000","smuggling","","Murfreesboro"
"2018-01-25 00:00:00,000","robbery","","Lubbock"
"2018-01-26 00:00:00,000","assault","","Pasadena"
"2018-01-27 00:00:00,000","bribery","","Marina"
"2018-01-27 00:00:00,000","murder","","Bel Air"
"2018-01-31 00:00:00,000","robbery","","Coral Springs"
"2018-02-01 00:00:00,000","bribery","","Baton Rouge"
"2018-02-02 00:00:00,000","theft","","Waco"
"2018-02-02 00:00:00,000","theft","","Lewisville"
"2018-02-03 00:00:00,000","murder","","Normal"
"2018-02-04 00:00:00,000","blackmail","","South Bend"
"2018-02-06 00:00:00,000","assault","","Columbia"
"2018-02-09 00:00:00,000","murder","","Boise"
"2018-02-10 00:00:00,000","theft","","Visalia"
"2018-02-11 00:00:00,000","theft","","Hesperia"
"2018-02-12 00:00:00,000","arson","","Lorain"
"2018-02-13 00:00:00,000","smuggling","","Indianapolis"
"2018-02-14 00:00:00,000","murder","","Gilbert"
"2018-02-14 00:00:00,000","murder","","Scottsdale"
"2018-02-15 00:00:00,000","smuggling","","Fort Wayne"
"2018-02-16 00:00:00,000","bribery","","Laredo"
"2018-02-20 00:00:00,000","arson","","Fairfield"
"2018-02-24 00:00:00,000","smuggling","","North Las Vegas"
"2018-02-25 00:00:00,000","assault","","Rancho Cucamonga"
"2018-02-25 00:00:00,000","murder","","Pompano Beach"
"2018-02-27 00:00:00,000","smuggling","","Kissimmee"
"2018-02-28 00:00:00,000","assault","","Frederick"
"2018-03-02 00:00:00,000","arson","","Modesto"
"2018-03-03 00:00:00,000","theft","","Ocala"
"2018-03-04 00:00:00,000","blackmail","","Fort Worth"
"2018-03-05 00:00:00,000","robbery","","Charlotte"
"2018-03-11 00:00:00,000","bribery","","Dallas"
"2018-03-11 00:00:00,000","arson","","Garden Grove"
"2018-03-11 00:00:00,000","murder","","Winter Haven"
"2018-03-13 00:00:00,000","blackmail","","Medford"
"2018-03-16 00:00:00,000","murder","","Naples"
"2018-03-16 00:00:00,000","murder","","Tampa"
"2018-03-17 00:00:00,000","fraud","","Frederick"
"2018-03-18 00:00:00,000","murder","","Austin"
"2018-03-19 00:00:00,000","blackmail","","Buffalo"
"2018-03-24 00:00:00,000","blackmail","","Harrisburg"
"2018-03-24 00:00:00,000","smuggling","","Jacksonville"
"2018-03-25 00:00:00,000","blackmail","","Carrollton"
"2018-03-27 00:00:00,000","robbery","","Providence"
"2018-03-29 00:00:00,000","theft","","Syracuse"
"2018-03-30 00:00:00,000","theft","","Detroit"
"2018-03-30 00:00:00,000","theft","","York"
"2018-03-31 00:00:00,000","blackmail","","Garland"
"2018-04-01 00:00:00,000","fraud","","Grayslake"
"2018-04-02 00:00:00,000","robbery","","Naperville"
"2018-04-07 00:00:00,000","fraud","","Hollywood"
"2018-04-13 00:00:00,000","murder","","New Orleans"
"2018-04-15 00:00:00,000","murder","","Kansas City"
"2018-04-17 00:00:00,000","bribery","","San Diego"
"2018-04-18 00:00:00,000","assault","","Hialeah"
"2018-04-19 00:00:00,000","arson","","Fort Collins"
"2018-04-21 00:00:00,000","fraud","","Odessa"
"2018-04-21 00:00:00,000","blackmail","","Hemet"
"2018-04-22 00:00:00,000","arson","","Naperville"
"2018-04-24 00:00:00,000","arson","","New York"
"2018-04-25 00:00:00,000","blackmail","","Chula Vista"
"2018-04-27 00:00:00,000","arson","","Leominster"
"2018-04-30 00:00:00,000","bribery","","Garden Grove"
"2018-04-30 00:00:00,000","assault","","Fontana"
"2017-01-01 00:00:00,000","smuggling","‘Now tell me, Pat, what’s that in the window?’","Gilbert"
"2017-01-02 00:00:00,000","smuggling","‘Yes,’ said Alice, ‘we learned French and music.’","Alexandria"
"2017-01-16 00:00:00,000","smuggling","living would be like, but it puzzled her too much, so she went on: ‘But","Las Cruces"
"2017-01-19 00:00:00,000","smuggling","and sadly:--","Riverside"
"2017-02-02 00:00:00,000","smuggling","She was a good deal frightened by this very sudden change, but she felt","Mesa"
"2017-02-02 00:00:00,000","smuggling","(she was obliged to say ‘creatures,’ you see, because some of them were","Montgomery"
"2017-02-05 00:00:00,000","smuggling","would change to dull reality--the grass would be only rustling in the","Reno"
"2017-02-08 00:00:00,000","smuggling","pocket, and was looking at it uneasily, shaking it every now and then,","Toledo"
"2017-02-09 00:00:00,000","smuggling","‘--as far out to sea as you can--’","Canton"
"2017-02-09 00:00:00,000","smuggling","yourself.’","College Station"
"2017-02-27 00:00:00,000","smuggling","‘If I’d been the whiting,’ said Alice, whose thoughts were still running","Fairfield"
"2017-03-04 00:00:00,000","smuggling","jumping merrily along hand in hand, in couples: they were all ornamented","New London"
"2017-03-17 00:00:00,000","smuggling","   ‘You are old,’ said the youth, ‘one would hardly suppose","North Port"
"2017-03-26 00:00:00,000","smuggling","she thought, and looked into its eyes again, to see if there were any","Durham"
"2017-04-10 00:00:00,000","smuggling","‘It isn’t directed at all,’ said the White Rabbit; ‘in fact, there’s","Rockford"
"2017-04-16 00:00:00,000","smuggling","So she set to work, and very soon finished off the cake.","Westminster"
"2017-04-19 00:00:00,000","smuggling","sister, as well as she could remember them, all these strange Adventures","New Haven"
"2017-04-21 00:00:00,000","smuggling","players, except the King, the Queen, and Alice, were in custody and","Sterling Heights"
"2017-04-26 00:00:00,000","smuggling","‘I don’t know of any that do,’ Alice said very politely, feeling quite","Redding"
"2017-04-28 00:00:00,000","smuggling","‘My name is Alice, so please your Majesty,’ said Alice very politely;","Elkhart"
"2017-05-01 00:00:00,000","smuggling","along the course, here and there. There was no ‘One, two, three, and","Clarke County"
"2017-05-11 00:00:00,000","smuggling","other, and growing sometimes taller and sometimes shorter, until she had","Winston"
"2017-05-12 00:00:00,000","smuggling","‘You should learn not to make personal remarks,’ Alice said with some","Layton"
"2017-05-18 00:00:00,000","smuggling","or Longitude I’ve got to?’ (Alice had no idea what Latitude was, or","Waco"
"2017-05-18 00:00:00,000","smuggling","‘I didn’t!’ the March Hare interrupted in a great hurry.","Richmond County"
"2017-05-28 00:00:00,000","smuggling","answer, so Alice went on eagerly: ‘There is such a nice little dog near","Chesapeake"
"2017-05-29 00:00:00,000","smuggling","‘Yes, but some crumbs must have got in as well,’ the Hatter grumbled:","Scranton"
"2017-06-07 00:00:00,000","smuggling","the pool as it went.","St. Paul"
"2017-06-10 00:00:00,000","smuggling","hand again, and made another snatch in the air. This time there were","Paterson"
"2017-06-17 00:00:00,000","smuggling","tone; ‘at least there’s no room to grow up any more HERE.’","Escondido"
"2017-06-18 00:00:00,000","smuggling","denying it. I suppose you’ll be telling me next that you never tasted an","Gainesville"
"2017-06-27 00:00:00,000","smuggling","‘And yet what a dear little puppy it was!’ said Alice, as she leant","Norman"
"2017-06-29 00:00:00,000","smuggling","look through into the garden with one eye; but to get through was more","Atlantic City"
"2017-06-29 00:00:00,000","smuggling","‘Suppose we change the subject,’ the March Hare interrupted, yawning.","Omaha"
"2017-06-30 00:00:00,000","smuggling","away. ‘You insult me by talking such nonsense!’","Abilene"
"2017-07-06 00:00:00,000","smuggling","a mouse--to a mouse--a mouse--O mouse!’) The Mouse looked at her rather","Duluth"
"2017-07-31 00:00:00,000","smuggling","gave herself very good advice, (though she very seldom followed it),","Birmingham"
"2017-08-01 00:00:00,000","smuggling","‘You did!’ said the Hatter.","Bonita Springs"
"2017-08-14 00:00:00,000","smuggling","large she had grown in the last few minutes, and she jumped up in such","New Bedford"
"2017-08-21 00:00:00,000","smuggling","to be done, I wonder?’ As she said this, she came suddenly upon an open","Olathe"
"2017-08-27 00:00:00,000","smuggling","begun asking riddles.--I believe I can guess that,’ she added aloud.","Columbus"
"2017-09-06 00:00:00,000","smuggling","bore it as well as she could.","Yakima"
"2017-09-08 00:00:00,000","smuggling","‘Oh, don’t bother ME,’ said the Duchess; ‘I never could abide figures!’","Duluth"
"2017-09-11 00:00:00,000","smuggling","in the last few minutes that she wasn’t a bit afraid of interrupting","Sioux City"
"2017-09-14 00:00:00,000","smuggling","so closely against her foot, that there was hardly room to open her","St. Louis"
"2017-09-18 00:00:00,000","smuggling","be growing small again.’ She got up and went to the table to measure","Winston"
"2017-09-22 00:00:00,000","smuggling","At this moment the King, who had been for some time busily writing in","Hollywood"
"2017-09-26 00:00:00,000","smuggling","feebly stretching out one paw, trying to touch her. ‘Poor little thing!’","Jackson"
"2017-09-27 00:00:00,000","smuggling","London is the capital of Paris, and Paris is the capital of Rome, and","Clearwater"
"2017-10-04 00:00:00,000","smuggling","she was up to her chin in salt water. Her first idea was that she","Lakewood"
"2017-10-04 00:00:00,000","smuggling","This sounded promising, certainly: Alice turned and came back again.","Norman"
"2017-10-10 00:00:00,000","smuggling","She was a good deal frightened by this very sudden change, but she felt","Jersey City"
"2017-10-10 00:00:00,000","smuggling","Luckily for Alice, the little magic bottle had now had its full effect,","Cedar Rapids"
"2017-10-23 00:00:00,000","smuggling","candle is like after the candle is blown out, for she could not remember","Murfreesboro"
"2017-10-24 00:00:00,000","smuggling","‘It was the BEST butter,’ the March Hare meekly replied.","Orem"
"2017-11-01 00:00:00,000","smuggling","conversations?’","Yonkers"
"2017-11-02 00:00:00,000","smuggling","Alice was rather doubtful whether she ought not to lie down on her face","Chesapeake"
"2017-11-05 00:00:00,000","smuggling","begged the Mouse to tell them something more.","Fort Collins"
"2017-11-08 00:00:00,000","smuggling","savage when they met in the kitchen.","Corpus Christi"
"2017-11-10 00:00:00,000","smuggling","funny watch!’ she remarked. ‘It tells the day of the month, and doesn’t","Virginia Beach"
"2017-11-10 00:00:00,000","smuggling","This was not an encouraging opening for a conversation. Alice replied,","Olathe"
"2017-11-20 00:00:00,000","smuggling","answer. ‘They’re done with blacking, I believe.’","Sacramento"
"2017-11-30 00:00:00,000","smuggling","bank, and of having nothing to do: once or twice she had peeped into the","Lewisville"
"2017-12-05 00:00:00,000","smuggling","‘I never saw one, or heard of one,’ said Alice.","Irving"
"2017-12-08 00:00:00,000","smuggling","   ‘You are old,’ said the youth, ‘as I mentioned before,","Vero Beach"
"2017-12-13 00:00:00,000","smuggling","the royal children, and everybody else.","Orlando"
"2017-12-22 00:00:00,000","smuggling","mushroom, and her eyes immediately met those of a large caterpillar,","Las Vegas"
"2017-12-24 00:00:00,000","smuggling","Fainting in Coils.’","Pompano Beach"
"2018-01-04 00:00:00,000","smuggling","age knew the meaning of it at all. However, ‘jury-men’ would have done","Reno"
"2018-01-08 00:00:00,000","smuggling","Then they both bowed low, and their curls got entangled together.","St. Louis"
"2018-01-25 00:00:00,000","smuggling","This did not seem to encourage the witness at all: he kept shifting","Palm Springs"
"2018-01-26 00:00:00,000","smuggling","about the whiting!’","Fresno"
"2018-01-29 00:00:00,000","smuggling","‘Begin at the beginning,’ the King said gravely, ‘and go on till you","Hartford"
"2018-01-30 00:00:00,000","smuggling","tell me, please, which way I ought to go from here?’","Bridgeport"
"2018-02-01 00:00:00,000","smuggling","The King laid his hand upon her arm, and timidly said ‘Consider, my","Seattle"
"2018-02-16 00:00:00,000","smuggling","wondering very much what would happen next.","Erie"
"2018-02-18 00:00:00,000","smuggling","hastily, for the White Rabbit cried out, ‘Silence in the court!’ and the","Detroit"
"2018-02-28 00:00:00,000","smuggling","sight, they were getting so far off). ‘Oh, my poor little feet, I wonder","Cincinnati"
"2018-03-05 00:00:00,000","smuggling","says it kills all the rats and--oh dear!’ cried Alice in a sorrowful","Utica"
"2018-03-10 00:00:00,000","smuggling","YOU must cross-examine the next witness. It quite makes my forehead","Knoxville"
"2018-03-12 00:00:00,000","smuggling","‘Very,’ said Alice: ‘--where’s the Duchess?’","Erie"
"2018-03-20 00:00:00,000","smuggling","‘Stand up and repeat “‘TIS THE VOICE OF THE SLUGGARD,”’ said the","Portland"
"2018-03-23 00:00:00,000","smuggling","hands on her lap as if she were saying lessons, and began to repeat it,","Rancho Cucamonga"
"2018-03-24 00:00:00,000","smuggling","jumping merrily along hand in hand, in couples: they were all ornamented","Dayton"
"2018-03-29 00:00:00,000","smuggling","   ‘They told me you had been to her,","Lancaster"
"2018-03-29 00:00:00,000","smuggling","‘Give your evidence,’ said the King; ‘and don’t be nervous, or I’ll have","Bryan"
"2018-03-31 00:00:00,000","smuggling","MORE than nothing.’","Bradenton"
"2018-04-08 00:00:00,000","smuggling","There was a general clapping of hands at this: it was the first really","Daytona Beach"
"2018-04-17 00:00:00,000","smuggling","‘I’m getting tired of this. I vote the young lady tells us a story.’","Columbia"
"2018-04-26 00:00:00,000","smuggling","straightening itself out again, so that altogether, for the first minute","Trenton"
"2017-01-04 00:00:00,000","blackmail","see what was the matter with it. There could be no doubt that it had","Lacey"
"2017-01-06 00:00:00,000","blackmail","rather sharply; ‘I advise you to leave off this minute!’ She generally","Lewisville"
"2017-01-06 00:00:00,000","blackmail","CHAPTER X. The Lobster Quadrille","Jackson"
"2017-01-07 00:00:00,000","blackmail","This answer so confused poor Alice, that she let the Dormouse go on for","Newark"
"2017-01-10 00:00:00,000","blackmail","Alice was not much surprised at this, she was getting so used to queer","Kailua"
"2017-01-13 00:00:00,000","blackmail","‘There’s no sort of use in knocking,’ said the Footman, ‘and that for","Fort Collins"
"2017-01-16 00:00:00,000","blackmail","Fish-Footman was gone, and the other was sitting on the ground near the","Tallahassee"
"2017-01-27 00:00:00,000","blackmail","thousand miles down, I think--’ (for, you see, Alice had learnt several","Richland"
"2017-01-29 00:00:00,000","blackmail","‘Call the first witness,’ said the King; and the White Rabbit blew three","Paterson"
"2017-02-19 00:00:00,000","blackmail","‘I didn’t know it was YOUR table,’ said Alice; ‘it’s laid for a great","Lubbock"
"2017-02-21 00:00:00,000","blackmail","was,’ he said.","Panama City"
"2017-02-26 00:00:00,000","blackmail","yourself.’","Bridgeport"
"2017-03-02 00:00:00,000","blackmail","When she got back to the Cheshire Cat, she was surprised to find quite a","Kenosha"
"2017-03-10 00:00:00,000","blackmail","‘It isn’t,’ said the Caterpillar.","Palmdale"
"2017-03-13 00:00:00,000","blackmail","They were indeed a queer-looking party that assembled on the bank--the","Kenosha"
"2017-03-15 00:00:00,000","blackmail","get into the garden, and I don’t care which happens!’","Hampton"
"2017-03-17 00:00:00,000","blackmail","she was out of sight: then it chuckled. ‘What fun!’ said the Gryphon,","Elizabeth"
"2017-03-18 00:00:00,000","blackmail","‘Have you guessed the riddle yet?’ the Hatter said, turning to Alice","Eugene"
"2017-03-22 00:00:00,000","blackmail","‘A likely story indeed!’ said the Pigeon in a tone of the deepest","Huntington"
"2017-03-29 00:00:00,000","blackmail","began shrinking directly. As soon as she was small enough to get through","Oakland"
"2017-04-05 00:00:00,000","blackmail","again, it was very provoking to find that the hedgehog had unrolled","Bakersfield"
"2017-04-09 00:00:00,000","blackmail","CHAPTER IX. The Mock Turtle’s Story","Inglewood"
"2017-04-11 00:00:00,000","blackmail","can’t think! And oh, I wish you could see her after the birds! Why,","Arlington"
"2017-04-15 00:00:00,000","blackmail","       house,","Kissimmee"
"2017-05-04 00:00:00,000","blackmail","She drew her foot as far down the chimney as she could, and waited","Kaneohe"
"2017-05-09 00:00:00,000","blackmail","‘I want a clean cup,’ interrupted the Hatter: ‘let’s all move one place","Norwich"
"2017-05-11 00:00:00,000","blackmail","head first, and then sat upon it.)","Anchorage"
"2017-05-13 00:00:00,000","blackmail","was a table, with a large dish of tarts upon it: they looked so good,","St. Petersburg"
"2017-05-20 00:00:00,000","blackmail","that “I see what I eat” is the same thing as “I eat what I see”!’","Houston"
